season,date,home,score,away,replay_str,replay,replay_two
7,"October 6, 2019",Riverside Groundhawks,2 - 0 [F],Flip Gear,Replay,,
7,"October 6, 2019",Vauxhall Vanguard,20 - 13,Havana Hurricanes,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6b3c2ed4a7efd4ef050feaf59f9ea1dd,
7,"October 6, 2019",Loona Orbits,42 - 24,Anti Larva Area,Replay,https://thehax.pl/forum/powtorki.php?nagranie=128c7203094d38fab73fa5a576741770,
7,"October 6, 2019",London Redcoats,14 - 30,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=170c61343dfcb8271800774e805594d0,
7,"October 6, 2019",Panama Pandemic,34 - 27,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=fbe516973170a88450ed7acd680ce57a,
7,"October 6, 2019",No Fly Zone,14 - 49,Fairborn Skyhawks,Replay,https://thehax.pl/forum/powtorki.php?nagranie=3e0ccfbea29bf2f9189935657c042ce6,
7,"October 10, 2019",Havana Hurricanes,7 - 3,Anti Larva Area,Replay,,
7,"October 10, 2019",Flip Gear,0 - 2 [F],Loona Orbits,Replay,,
7,"October 10, 2019",Vauxhall Vanguard,38 - 21,Riverside Groundhawks,Replay,https://thehax.pl/forum/powtorki.php?nagranie=8c55d7f4f13f66bc9f51b0f69fae6324,
7,"October 10, 2019",Panama Pandemic,13 - 17,London Redcoats,Replay,https://thehax.pl/forum/powtorki.php?nagranie=45019ad9c63e84286e21ec49a6191729,
7,"October 10, 2019",Flip Squad,7 - 28,Fairborn Skyhawks,Replay,https://thehax.pl/forum/powtorki.php?nagranie=87aa77d1095282b5b1a3c9fbaeb98086,
7,"October 10, 2019",Loonaverse,30 - 20,No Fly Zone,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6d30c00613911ab1fea50afa54de54e2,
7,"October 13, 2019",Loona Orbits,13 - 7,Vauxhall Vanguard,Replay,https://thehax.pl/forum/powtorki.php?nagranie=883b443892601f947ef5247431c61c35,
7,"October 13, 2019",Anti Larva Area,2 - 0 [F],Flip Gear,Replay,,
7,"October 13, 2019",Riverside Groundhawks,2 - 0 [F],Havana Hurricanes,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b758eedd428eefdcd562b3da0272484f,
7,"October 13, 2019",Fairborn Skyhawks,14 - 17,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=cbe568af0f89d89605fd6f4e7ea1078c,
